Inventory_ID,Warehouse_ID,Warehouse_Name,Country,City,SKU,Product_Category,Product_Name,Current_Stock,Reorder_Level,Max_Stock_Capacity,Unit_Cost_USD,Unit_Price_USD,Stock_Value_USD,Received_Date,Expiry_Date,Units_Received_YTD,Units_Shipped_YTD,Units_Returned_YTD,Stock_Turnover_Rate,Quality_Status,Storage_Zone,Shelf_Location,Batch_Number,Supplier_Name,Last_Stock_Count_Date,Stock_Count_Variance,Handler_Employee_ID,Temperature_Required,Hazardous_Class,Barcode,Weight_Per_Unit_KG,Dimensions_CM
INV-0000001,WH-002,CNF Abu Dhabi Distribution Center,UAE,Abu Dhabi,SKU-HOM-4297-743,Home & Garden,Lighting,2867,310,6299,1178.29,2314.94,3378157.43,7/4/2019,12/5/2025,16258,9324,245,3.25,Good,A2,A2-42-4,BATCH-2025365,Turkey Logistics,7/25/2024,-9,EMP-00184,Ambient,None,8.90169E+12,5.34,191x5x7
INV-0000002,WH-007,CNF Kuwait City Distribution Center,Kuwait,Kuwait City,SKU-ELE-6708-978,Electronics,Gaming Consoles,984,364,3282,4313.61,7751.21,4244592.24,8/8/2020,12/5/2025,38826,24670,785,25.07,Damaged,Hazmat Zone,Hazmat Zone-20-9,BATCH-2024987,India Trade Center,8/24/2024,42,EMP-00048,Ambient,None,8.90303E+12,50.73,128x79x7
INV-0000003,WH-012,CNF Al Khor Distribution Center,Qatar,Al Khor,SKU-IND-7454-462,Industrial,Hardware,1801,296,4567,1803.01,2551.25,3247221.01,1/30/2022,12/5/2025,6086,1873,22,1.04,Good,C2,C2-5-9,BATCH-2020190,Euro Logistics,10/23/2025,18,EMP-00182,Ambient,None,8.90297E+12,13.8,181x93x44
INV-0000004,WH-008,CNF Hawalli Distribution Center,Kuwait,Hawalli,SKU-FAS-6345-818,Fashion,Kids Clothing,7927,72,8387,608.62,901.72,4824530.74,2/25/2021,12/5/2025,32158,7695,293,0.97,Damaged,A1,A1-22-6,BATCH-2019809,India Trade Center,4/16/2022,34,EMP-00190,Ambient,None,8.90273E+12,81.41,139x17x5
INV-0000005,WH-003,CNF Sharjah Distribution Center,UAE,Sharjah,SKU-IND-3533-872,Industrial,Plumbing,8928,107,11222,4969.92,8141.31,44371445.76,2/4/2022,12/5/2025,45735,24913,145,2.79,Good,Hazmat Zone,Hazmat Zone-29-7,BATCH-2025260,Global Supply Co.,3/12/2022,26,EMP-00127,Ambient,None,8.90463E+12,56.63,151x50x5
INV-0000006,WH-013,CNF Manama Distribution Center,Bahrain,Manama,SKU-FOO-3714-612,Food & Beverage,Organic Foods,3421,226,6292,1801.32,2198.12,6162315.72,2/10/2022,1/20/2024,31404,19426,181,5.68,Good,A2,A2-50-6,BATCH-2019154,Local Distributors,9/26/2022,25,EMP-00299,2-8°C,None,8.90198E+12,53.81,97x31x24
INV-0000007,WH-010,CNF Doha Distribution Center,Qatar,Doha,SKU-FOO-7510-802,Food & Beverage,Health Foods,9426,211,10831,3599.38,7815.93,33927755.88,7/13/2021,6/19/2023,14360,9200,238,0.98,Good,Hazmat Zone,Hazmat Zone-15-10,BATCH-2024536,Local Distributors,8/17/2022,49,EMP-00175,2-8°C,None,8.90718E+12,5.26,59x6x45
INV-0000008,WH-005,CNF Jeddah Distribution Center,Saudi Arabia,Jeddah,SKU-FOO-7380-924,Food & Beverage,Organic Foods,6017,141,7838,3988.66,11917.56,23999767.22,6/21/2024,12/31/2025,1798,24,1,0,Good,D1,D1-39-4,BATCH-2021280,Gulf Manufacturing,3/22/2025,-46,EMP-00252,2-8°C,None,8.90633E+12,61.66,168x63x12
INV-0000009,WH-008,CNF Hawalli Distribution Center,Kuwait,Hawalli,SKU-HOM-6628-739,Home & Garden,Storage,7851,253,12675,4177.54,12074.03,32797866.54,12/23/2022,12/5/2025,16077,3418,9,0.44,Good,C1,C1-13-6,BATCH-2019577,China Export Hub,10/19/2024,43,EMP-00252,Ambient,None,8.90222E+12,2.4,196x72x45
INV-0000010,WH-007,CNF Kuwait City Distribution Center,Kuwait,Kuwait City,SKU-BEA-4331-876,Beauty & Health,Personal Care,4352,300,6986,3629.82,9180.64,15796976.64,3/2/2020,11/5/2020,35131,4805,108,1.1,Good,B1,B1-34-6,BATCH-2021819,India Trade Center,8/22/2023,46,EMP-00135,Frozen,None,8.90737E+12,0.31,37x11x37
