Order_ID,Order_Date,Customer_ID,Customer_Type,Country,City,Product_Category,Product_Name,Quantity,Unit_Price_USD,Subtotal_USD,Discount_Percent,Discount_Amount_USD,Tax_Rate_Percent,Tax_Amount_USD,Shipping_Cost_USD,Insurance_Cost_USD,Total_Amount_USD,Currency,Order_Status,Delivery_Date,Payment_Method,Payment_Status,Sales_Rep_ID,Agent_Name,Warehouse_Country,Warehouse_City,Shipping_Method,Priority,Notes
ORD-0000001,8/25/2024,CUST-01117,Corporate,Kuwait,Kuwait City,Beauty & Health,Skincare,1482,450.98,668352.36,12.95,86551.63,0,0,326.66,977.25,583104.64,USD,Delivered,9/11/2024,Credit Card,Pending,EMP-00241,Hapag-Lloyd Gulf,Qatar,Lusail,Air Freight,Medium,Express required
ORD-0000002,2/28/2019,CUST-01412,E-commerce Platform,Bahrain,Riffa,Industrial,Safety Equipment,53,456.76,24208.28,10.91,2641.12,10,2156.72,2658.46,39.67,26422.01,USD,Delivered,3/1/2019,Credit Card,Paid,EMP-00152,MSC Arabian,UAE,Abu Dhabi,Sea Freight,High,Express required
ORD-0000003,6/25/2021,CUST-01092,Corporate,Bahrain,Hamad Town,Automotive,Oils,1879,4709.42,8849000.18,24.91,2204285.94,10,664471.42,3887.7,79949.33,7393022.69,USD,Returned,7/21/2021,Credit Card,Paid,EMP-00234,Desert Express Logistics,Kuwait,Jahra,Road Transport,Medium,Express required
ORD-0000004,9/24/2023,CUST-01450,Individual,Bahrain,Isa Town,Home & Garden,Bedding,6,47.52,285.12,0.84,2.4,10,28.27,1509.56,0,1820.55,USD,Delivered,9/28/2023,Letter of Credit,Paid,EMP-00206,Red Sea Transport,Saudi Arabia,Riyadh,Express Courier,Medium,Express required
ORD-0000005,9/22/2019,CUST-01096,Small Business,Oman,Salalah,Sports & Outdoors,Team Sports,261,79.63,20783.43,3.1,644.29,5,1006.96,3521.73,35.27,24703.1,USD,Delivered,10/21/2019,Installments,Paid,EMP-00167,Desert Express Logistics,Saudi Arabia,Riyadh,Rail Freight,Medium,Express required
ORD-0000006,3/13/2022,CUST-00132,Individual,Kuwait,Hawalli,Industrial,Packaging,17,333.08,5662.36,0.93,52.66,0,0,4083.23,0,9692.93,USD,Delivered,3/31/2022,Bank Transfer,Paid,EMP-00101,Pearl Harbor Freight,Qatar,Lusail,Rail Freight,Low,Express required
ORD-0000007,2/10/2021,CUST-00636,E-commerce Platform,UAE,Sharjah,Automotive,Car Accessories,91,120.85,10997.35,9.25,1017.25,5,499.01,4300.46,15.87,14795.44,USD,Delivered,2/26/2021,Credit Card,Paid,EMP-00216,MSC Arabian,Kuwait,Hawalli,Rail Freight,Medium,Fragile items
ORD-0000008,10/7/2021,CUST-00340,Individual,Kuwait,Jahra,Industrial,Electrical,14,782.15,10950.1,13.78,1508.92,0,0,2540.94,45.79,12027.91,USD,Delivered,10/22/2021,Bank Transfer,Paid,EMP-00283,DHL Gulf,Bahrain,Riffa,Road Transport,Medium,Express required
ORD-0000009,8/15/2021,CUST-00418,Individual,Kuwait,Salmiya,Food & Beverage,Beverages,18,973.09,17515.62,14.07,2464.45,0,0,2570.17,127.53,17748.87,USD,Delivered,8/25/2021,Bank Transfer,Paid,EMP-00202,Al Futtaim Logistics,Bahrain,Hamad Town,Air Freight,Low,Express required
ORD-0000010,1/18/2019,CUST-00218,Corporate,Saudi Arabia,Taif,Home & Garden,Garden Tools,3244,2487.69,8070066.36,6.24,503572.14,15,1134974.13,611.51,42888.36,8744968.22,USD,Delivered,2/7/2019,Credit Card,Overdue,EMP-00134,MSC Arabian,UAE,Ajman,Road Transport,High,Hazardous materials
ORD-0000012,2/9/2019,CUST-01074,Small Business,UAE,Abu Dhabi,Food & Beverage,Frozen Foods,173,1717.87,297191.51,2.2,6538.21,5,14532.67,2071.89,2579.31,309837.17,USD,Shipped,2/19/2019,Bank Transfer,Partial,EMP-00239,Hapag-Lloyd Gulf,Saudi Arabia,Khobar,Road Transport,Medium,Express required
