Shipment_ID,Order_ID,Customer_ID,Tracking_Number,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Shipping_Method,Origin_Country,Origin_City,Destination_Country,Destination_City,Weight_KG,Volume_CBM,Number_of_Packages,Shipping_Cost_USD,Customs_Value_USD,Customs_Duty_USD,Insurance_Value_USD,Total_Logistics_Cost_USD,Transit_Days_Estimated,Delay_Days,Carrier_Name,Handler_Employee_ID,Temperature_Controlled,Hazardous_Materials
SHP-0000001,ORD-0000001,CUST-01117,TRK-199079618,4/17/2022,4/20/2022,4/18/2022,Delivered,Air Freight,Qatar,Lusail,Kuwait,Kuwait City,2460.5,3.1115,60,10739.29,283291.65,32369.93,2055.45,45164.67,3,0,Pearl Harbor Freight,EMP-00129,Yes,No
SHP-0000002,ORD-0000002,CUST-01412,TRK-962978474,8/18/2024,8/30/2024,11/16/2022,In Transit,Sea Freight,UAE,Abu Dhabi,Bahrain,Riffa,41627.99,2728.1682,46,65115.54,2647067.44,257717.73,13451.99,336285.26,12,0,Kanoo Shipping,EMP-00268,Yes,Yes
SHP-0000003,ORD-0000003,CUST-01092,TRK-413325561,11/3/2022,11/11/2022,11/16/2022,Delivered,Road Transport,Kuwait,Jahra,Bahrain,Hamad Town,43930.44,231.7243,39,115903.05,4330753.82,386477.52,28600.17,530980.74,8,5,Agility Logistics,EMP-00264,Yes,No
SHP-0000005,ORD-0000005,CUST-01096,TRK-885876012,3/9/2022,3/15/2022,11/16/2022,In Transit,Rail Freight,Saudi Arabia,Riyadh,Oman,Salalah,11478.05,1001.1283,53,39703.31,1756851.46,94757.29,12176.27,146636.87,6,0,Agility Logistics,EMP-00255,No,Yes
SHP-0000006,ORD-0000006,CUST-00132,TRK-191928661,6/10/2022,6/17/2022,11/16/2022,At Warehouse,Rail Freight,Qatar,Lusail,Kuwait,Hawalli,42887.14,2333.3313,18,64040.81,1709832.51,46182.67,7016.8,117240.28,7,0,Kanoo Shipping,EMP-00208,Yes,Yes
SHP-0000007,ORD-0000007,CUST-00636,TRK-958251576,6/22/2022,6/29/2022,11/16/2022,In Transit,Rail Freight,Kuwait,Hawalli,UAE,Sharjah,18185.78,98.7937,93,71829.38,2826730.19,249673.94,4638.89,326142.21,7,0,Middle East Freight Solutions,EMP-00205,Yes,Yes
SHP-0000008,ORD-0000008,CUST-00340,TRK-292303823,1/15/2020,1/22/2020,11/16/2022,At Warehouse,Road Transport,Bahrain,Riffa,Kuwait,Jahra,43067.64,848.1188,24,208890.17,9550027.1,1398210.16,40464.2,1647564.53,7,0,Arabian Shipping Co.,EMP-00117,No,Yes
SHP-0000009,ORD-0000009,CUST-00418,TRK-290353123,2/5/2019,2/8/2019,2/13/2019,Delivered,Air Freight,Bahrain,Hamad Town,Kuwait,Salmiya,35935.35,1209.7303,32,374295.04,965165.87,78157.21,8344.24,460796.49,3,5,Evergreen Gulf Services,EMP-00080,Yes,Yes
SHP-0000010,ORD-0000010,CUST-00218,TRK-757868419,4/1/2025,4/5/2025,11/16/2022,At Warehouse,Road Transport,UAE,Ajman,Saudi Arabia,Taif,29957.36,297.0465,19,44978.99,1148311.74,105606.61,7599.06,158184.66,4,0,Al Futtaim Logistics,EMP-00298,No,Yes
SHP-0000011,ORD-0000011,CUST-00960,TRK-640119161,12/23/2020,12/31/2020,11/16/2022,In Transit,Road Transport,Kuwait,Kuwait City,Bahrain,Riffa,29107.15,1956.2046,53,55279.45,1011591.81,84831.2,7858.11,147968.76,8,0,Maersk Gulf,EMP-00090,Yes,No
SHP-0000012,ORD-0000012,CUST-01074,TRK-201764897,9/4/2024,9/10/2024,9/15/2024,Delivered,Road Transport,Saudi Arabia,Khobar,UAE,Abu Dhabi,43946.54,3739.8938,26,151488.13,1133926.09,24035.73,6629,182152.86,6,5,Agility Logistics,EMP-00129,No,Yes
SHP-0000013,ORD-0000013,CUST-00156,TRK-469821546,1/3/2020,1/11/2020,1/10/2020,Delivered,Sea Freight,Kuwait,Salmiya,Qatar,Lusail,12294.91,822.1798,73,22488.87,276949.46,21320.99,960.27,44770.13,8,0,Middle East Freight Solutions,EMP-00033,No,No
SHP-0000014,ORD-0000014,CUST-00798,TRK-989376696,5/1/2019,5/7/2019,5/10/2019,Delivered,Air Freight,Saudi Arabia,Jubail,Qatar,Doha,47475.35,4361.6054,25,454356.57,6514534.62,393813.61,52409.72,900579.9,6,3,Aramex,EMP-00129,Yes,Yes
